V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19
Yeni tikili,8 / 18,60 m²,2,yoxdur,92 000AZN,mülkiyyətçi,418,10 Avqust 2019,"Qara Qarayev m.
"," Nizami r.
"," 8-ci kilometr q.
",,,,,,,
Yeni tikili,7 / 16,62 m²,2,yoxdur,37 000AZN,vasitəçi (agent),239,10 Avqust 2019,"Xırdalan
",,,,,,,,,
Yeni tikili,14 / 27,178 m²,4,yoxdur,220 000AZN,vasitəçi (agent),137,10 Avqust 2019,"Yasamal r.
",,,,,,,,,
Yeni tikili,3 / 18,93 m²,2,yoxdur,125 000AZN,vasitəçi (agent),104,10 Avqust 2019,"Binəqədi r.
"," 7-ci mikrorayon q.
",,,,,,,,
Yeni tikili,10 / 18,70 m²,2,yoxdur,99 000AZN,mülkiyyətçi,221,Dünən 11,"Bakı Asiya Universiteti 
"," Nəsimi r.
",,,,,,,,
Yeni tikili,7 / 16,91 m²,2,yoxdur,50 000AZN,mülkiyyətçi,424,11 Avqust 2019,"Yasamal r.
"," Yeni Yasamal q.
",,,,,,,,
Yeni tikili,10 / 16,145 m²,3,yoxdur,200 000AZN,vasitəçi (agent),170,11 Avqust 2019,"Nəriman Nərimanov m.
"," Nəriman Nərimanov parkı 
"," Nərimanov r.
",,,,,,,
Yeni tikili,11 / 16,150 m²,3,yoxdur,205 000AZN,vasitəçi (agent),129,11 Avqust 2019,"Şah İsmayıl Xətai m.
"," Xətai r.
",,,,,,,,
Yeni tikili,2 / 17,186 m²,4,var,290 000AZN,mülkiyyətçi,647,07 Avqust 2019,"Şərq bazarı 
"," Nərimanov r.
",,,,,,,,
Köhnə tikili,3 / 9,62 m²,3,var,98 000AZN,vasitəçi (agent),241,10 Avqust 2019,"İnşaatçılar m.
"," Yasamal r.
",,,,,,,,
Köhnə tikili,9 / 10,100 m²,4,var,150 000AZN,vasitəçi (agent),1364,10 Avqust 2019,"Montin bazarı 
"," Nərimanov r.
",,,,,,,,
Köhnə tikili,15 / 17,70 m²,3,var,119 000AZN,mülkiyyətçi,4470,10 Avqust 2019,"İncəsənət və Mədəniyyət Un. 
"," Dövlət Statistika Komitəsi 
"," Nizami m.
"," Yasamal r.
",,,,,,
Yeni tikili,11 / 12,99.4 m²,2,yoxdur,150 000AZN,mülkiyyətçi,114,10 Avqust 2019,"Nəsimi bazarı 
"," Koala parkı 
"," Dostluq kinoteatrı 
"," Nəsimi r.
",,,,,,
Yeni tikili,19 / 19,50 m²,2,yoxdur,49 000AZN,vasitəçi (agent),252,Dünən 11,"Bakı Asiya Universiteti 
"," Nəsimi r.
",,,,,,,,
Yeni tikili,6 / 18,70 m²,2,yoxdur,110 000AZN,vasitəçi (agent),262,11 Avqust 2019,"Nizami r.
"," 8-ci kilometr q.
",,,,,,,,
Köhnə tikili,4 / 5,100 m²,4,var,175 000AZN,vasitəçi (agent),116,11 Avqust 2019,"Azadlıq Prospekti m.
"," Binəqədi r.
"," 8-ci mikrorayon q.
",,,,,,,
Yeni tikili,14 / 14,85 m²,3,yoxdur,86 000AZN,vasitəçi (agent),177,Bugün 11,"Yasamal r.
"," Yeni Yasamal q.
",,,,,,,,
Yeni tikili,13 / 14,155 m²,3,var,286 000AZN,vasitəçi (agent),841,02 Avqust 2019,"Zərifə Əliyeva adına park 
"," Binəqədi r.
",,,,,,,,
Köhnə tikili,1 / 5,33 m²,1,var,48 000AZN,vasitəçi (agent),257,10 Avqust 2019,"Binəqədi r.
"," 9-cu mikrorayon q.
",,,,,,,,
Yeni tikili,9 / 19,52 m²,1,yoxdur,75 500AZN,mülkiyyətçi,1982,10 Avqust 2019,"İnşaatçılar m.
"," Yasamal r.
",,,,,,,,
Köhnə tikili,1 / 7,85 m²,3,yoxdur,137 000AZN,vasitəçi (agent),300,10 Avqust 2019,"Şah İsmayıl Xətai m.
"," Xətai r.
",,,,,,,,
Köhnə tikili,5 / 5,58 m²,2,var,138 000AZN,vasitəçi (agent),400,10 Avqust 2019,"Texniki Universiteti 
"," Hüseyn Cavid parkı 
"," Memarlıq və İnşaat Universiteti 
"," Elmlər Akademiyası m.
"," Yasamal r.
",,,,,
Yeni tikili,17 / 17,55 m²,2,yoxdur,66 500AZN,vasitəçi (agent),191,Dünən 11,"Binəqədi r.
"," 8-ci mikrorayon q.
",,,,,,,,
Yeni tikili,4 / 20,64 m²,2,var,140 000AZN,mülkiyyətçi,300,11 Avqust 2019,"Şah İsmayıl Xətai m.
"," Xətai r.
",,,,,,,,
Köhnə tikili,5 / 5,80 m²,3,var,85 000AZN,vasitəçi (agent),196,11 Avqust 2019,"Bakı
",,,,,,,,,
Köhnə tikili,5 / 9,70 m²,3,var,114 000AZN,vasitəçi (agent),183,11 Avqust 2019,"Xalqlar Dostluğu m.
"," Nizami r.
",,,,,,,,
Yeni tikili,11 / 17,143 m²,3,var,195 000AZN,vasitəçi (agent),545,11 Avqust 2019,"Binəqədi r.
"," 9-cu mikrorayon q.
",,,,,,,,
Yeni tikili,8 / 11,220 m²,4,var,575 000AZN,mülkiyyətçi,23314,31 İyul 2019,"Azərbaycan turizm institutu 
"," Gənclik m.
"," Nərimanov r.
",,,,,,,
Köhnə tikili,6 / 9,76 m²,3,var,95 000AZN,vasitəçi (agent),108,10 Avqust 2019,"Xətai r.
",,,,,,,,,
Köhnə tikili,2 / 5,110 m²,3,var,155 000AZN,vasitəçi (agent),869,10 Avqust 2019,"Şah İsmayıl Xətai m.
"," Xətai r.
",,,,,,,,
Yeni tikili,18 / 21,115 m²,3,yoxdur,106 000AZN,vasitəçi (agent),185,10 Avqust 2019,"Yasamal r.
"," Yeni Yasamal q.
",,,,,,,,
Yeni tikili,3 / 16,28 m²,1,var,59 500AZN,mülkiyyətçi,385,11 Avqust 2019,"Yasamal r.
"," Yasamal q.
",,,,,,,,
Yeni tikili,16 / 19,50 m²,2,var,80 000AZN,vasitəçi (agent),277,11 Avqust 2019,"Binəqədi r.
"," 9-cu mikrorayon q.
",,,,,,,,
Yeni tikili,9 / 18,169 m²,4,var,400 000AZN,vasitəçi (agent),433,10 Avqust 2019,"Bakı Dövlət Universiteti 
"," Elmlər Akademiyası m.
"," Yasamal r.
",,,,,,,
Yeni tikili,3 / 17,117 m²,3,var,210 000AZN,vasitəçi (agent),115,11 Avqust 2019,"Zabitlər parkı 
"," Sirk 
"," Azərbaycan Dillər Universiteti 
"," Nəsimi r.
",,,,,,
Yeni tikili,12 / 17,145 m²,4,yoxdur,180 000AZN,vasitəçi (agent),767,11 Avqust 2019,"Yasamal r.
"," Yasamal q.
",,,,,,,,
Yeni tikili,12 / 21,70 m²,2,var,136 000AZN,mülkiyyətçi,893,25 İyul 2019,"Şah İsmayıl Xətai m.
"," Xətai r.
",,,,,,,,
Köhnə tikili,3 / 9,100 m²,4,yoxdur,155 000AZN,vasitəçi (agent),180,10 Avqust 2019,"Nəriman Nərimanov m.
"," Nəriman Nərimanov parkı 
"," Nərimanov r.
",,,,,,,
Köhnə tikili,9 / 9,80 m²,3,var,129 000AZN,vasitəçi (agent),2256,10 Avqust 2019,"Şah İsmayıl Xətai m.
"," Xətai r.
",,,,,,,,
Yeni tikili,7 / 16,58 m²,2,var,125 000AZN,mülkiyyətçi,1667,Dünən 16,"Nəriman Nərimanov m.
"," Nəriman Nərimanov parkı 
"," Nərimanov r.
",,,,,,,
Yeni tikili,6 / 12,130 m²,3,yoxdur,280 000AZN,mülkiyyətçi,1893,22 İyul 2019,"Bakı Asiya Universiteti 
"," Nəsimi r.
",,,,,,,,
Yeni tikili,12 / 20,62 m²,2,var,95 000AZN,vasitəçi (agent),617,11 Avqust 2019,"20 Yanvar m.
"," Yasamal r.
",,,,,,,,
Yeni tikili,16 / 18,170 m²,4,var,309 000AZN,vasitəçi (agent),315,10 Avqust 2019,"Şah İsmayıl Xətai m.
"," Xətai r.
",,,,,,,,
Köhnə tikili,3 / 9,140 m²,5,var,193 000AZN,vasitəçi (agent),176,11 Avqust 2019,"TQDK 
"," Neftçi bazası 
"," Nərimanov r.
",,,,,,,
Yeni tikili,6 / 8,121.5 m²,3,yoxdur,80 000AZN,mülkiyyətçi,121,11 Avqust 2019,"Abşeron r.
"," Masazır q.
",,,,,,,,
Yeni tikili,5 / 15,100 m²,2,var,150 000AZN,vasitəçi (agent),654,10 Avqust 2019,"Nizami m.
"," Dövlət Statistika Komitəsi 
"," İncəsənət və Mədəniyyət Un. 
"," Yasamal r.
",,,,,,
Köhnə tikili,4 / 7,100 m²,3,var,110 000AZN,vasitəçi (agent),120,10 Avqust 2019,"Nizami r.
",,,,,,,,,
Köhnə tikili,9 / 9,85 m²,3,var,115 000AZN,vasitəçi (agent),370,10 Avqust 2019,"Şah İsmayıl Xətai m.
"," Xətai r.
",,,,,,,,
Yeni tikili,4 / 8,116 m²,3,var,173 000AZN,vasitəçi (agent),309,10 Avqust 2019,"Memar Əcəmi m.
"," Nəsimi r.
",,,,,,,,
Yeni tikili,6 / 17,180 m²,4,var,325 000AZN,vasitəçi (agent),318,10 Avqust 2019,"Tibb Universiteti 
"," İdman kompleksi 
"," Nəsimi r.
",,,,,,,
Yeni tikili,10 / 21,172 m²,4,yoxdur,146 200AZN,201,Dünən 20,"Tibb Universiteti 
"," Nərimanov r.
",,,,,,,,,
Yeni tikili,10 / 17,191 m²,4,yoxdur,210 000AZN,mülkiyyətçi,286,Bugün 12,"Neftçilər m.
"," Nizami r.
",,,,,,,,
Yeni tikili,9 / 18,145 m²,3,yoxdur,125 000AZN,mülkiyyətçi,254,09 Avqust 2019,"Nizami r.
"," 8-ci kilometr q.
",,,,,,,,
Köhnə tikili,4 / 5,62 m²,3,var,118 000AZN,vasitəçi (agent),1124,11 Avqust 2019,"Rusiya səfirliyi 
"," Park Zorge 
"," Sevil Qazıyeva parkı 
"," Nəsimi r.
",,,,,,
Köhnə tikili,4 / 5,47 m²,2,var,88 000AZN,vasitəçi (agent),509,Bugün 10,"Nəriman Nərimanov parkı 
"," Nəriman Nərimanov m.
"," Rəssamlıq Akademiyası 
"," Nərimanov r.
",,,,,,
Köhnə tikili,5 / 9,50 m²,2,var,57 000AZN,vasitəçi (agent),484,10 Avqust 2019,"Nərimanov r.
",,,,,,,,,
Köhnə tikili,4 / 4,120 m²,4,var,175 000AZN,vasitəçi (agent),537,10 Avqust 2019,"Şah İsmayıl Xətai m.
"," Xətai r.
",,,,,,,,
Köhnə tikili,8 / 9,120 m²,5,var,127 000AZN,vasitəçi (agent),108,10 Avqust 2019,"Neapol dairəsi 
"," Xətai r.
",,,,,,,,
Yeni tikili,12 / 15,135 m²,3,var,289 000AZN,mülkiyyətçi,10058,Dünən 16,"İncəsənət və Mədəniyyət Un. 
"," Nizami m.
"," Yasamal r.
",,,,,,,
Yeni tikili,16 / 17,183.3 m²,4,var,250 000AZN,mülkiyyətçi,230,11 Avqust 2019,"Nəriman Nərimanov m.
"," Nəriman Nərimanov parkı 
"," Nərimanov r.
",,,,,,,
Köhnə tikili,5 / 5,45 m²,2,var,85 000AZN,vasitəçi (agent),146,11 Avqust 2019,"Nəriman Nərimanov m.
"," Nərimanov r.
",,,,,,,,
Yeni tikili,5 / 12,140 m²,3,var,245 000AZN,mülkiyyətçi,1451,19 İyul 2019,"Bakı Slavyan Universiteti 
"," Azərbaycan Dillər Universiteti 
"," 28 May m.
"," Nəsimi r.
",,,,,,
Yeni tikili,14 / 17,144 m²,4,yoxdur,225 000AZN,vasitəçi (agent),702,11 Avqust 2019,"Bakı Asiya Universiteti 
"," Nəsimi r.
",,,,,,,,
Yeni tikili,6 / 17,129 m²,3,var,240 000AZN,vasitəçi (agent),202,10 Avqust 2019,"Nəriman Nərimanov m.
"," Nərimanov r.
",,,,,,,,
Köhnə tikili,5 / 9,80 m²,3,var,107 000AZN,vasitəçi (agent),143,10 Avqust 2019,"Nizami r.
"," 8-ci kilometr q.
",,,,,,,,
Köhnə tikili,4 / 9,57 m²,2,var,74 000AZN,vasitəçi (agent),182,10 Avqust 2019,"Yasamal r.
"," Yeni Yasamal q.
",,,,,,,,
Yeni tikili,8 / 9,109 m²,3,var,98 000AZN,mülkiyyətçi,965,10 Avqust 2019,"Qaradağ r.
"," Lökbatan q.
",,,,,,,,
Yeni tikili,10 / 17,60 m²,2,var,125 000AZN,vasitəçi (agent),164,Dünən 11,"Təhsil Nazirliyi 
"," Nərimanov r.
",,,,,,,,
Köhnə tikili,2 / 4,80 m²,2,var,205 000AZN,mülkiyyətçi,191,11 Avqust 2019,"Qubernator parkı 
"," Prezident parkı 
"," İçəri Şəhər m.
"," Dövlət İdarəçilik Akademiyası 
"," Şəlalə parkı 
"," Azneft meydanı 
"," Axundov bağı 
"," İqsadiyyat Universiteti 
"," İçəri Şəhər 
"," Səbail r.
"
Yeni tikili,12 / 16,236 m²,4,yoxdur,250 000AZN,vasitəçi (agent),2830,Dünən 16,"İnşaatçılar m.
"," Yasamal r.
",,,,,,,,
Köhnə tikili,2 / 5,117 m²,4,var,260 000AZN,vasitəçi (agent),156,11 Avqust 2019,"Dövlət Statistika Komitəsi 
"," İzmir parkı 
"," M.Hüseynzadə parkı 
"," Yasamal r.
",,,,,,
Yeni tikili,6 / 16,55 m²,2,yoxdur,75 000AZN,vasitəçi (agent),3244,11 Avqust 2019,"Memar Əcəmi m.
"," Binəqədi r.
"," 9-cu mikrorayon q.
",,,,,,,
Köhnə tikili,5 / 5,55 m²,2,var,105 000AZN,vasitəçi (agent),164,10 Avqust 2019,"Elmlər Akademiyası m.
"," Hüseyn Cavid parkı 
"," Yasamal r.
",,,,,,,
Köhnə tikili,5 / 5,58 m²,2,var,82 000AZN,vasitəçi (agent),195,10 Avqust 2019,"28 May m.
"," Səməd Vurğun parkı 
"," Neft Akademiyası 
"," Nəsimi r.
",,,,,,
Yeni tikili,8 / 19,54 m²,2,var,94 000AZN,vasitəçi (agent),123,10 Avqust 2019,"Yasamal r.
"," Yeni Yasamal q.
",,,,,,,,
Yeni tikili,5 / 16,224 m²,4,var,420 000AZN,vasitəçi (agent),196,10 Avqust 2019,"Nəsimi bazarı 
"," TQDK 
"," Nəsimi r.
",,,,,,,
Köhnə tikili,1 / 5,70 m²,3,var,95 000AZN,vasitəçi (agent),142,Dünən 11,"Memar Əcəmi m.
"," Nəsimi r.
"," 4-cü mikrorayon q.
",,,,,,,
Yeni tikili,6 / 18,68 m²,2,yoxdur,120 000AZN,mülkiyyətçi,318,11 Avqust 2019,"Tibb Universiteti 
"," Nəsimi r.
",,,,,,,,
Yeni tikili,14 / 19,94 m²,2,var,150 000AZN,vasitəçi (agent),125,11 Avqust 2019,"Nəsimi r.
",,,,,,,,,
Yeni tikili,6 / 10,82.5 m²,2,var,108 000AZN,vasitəçi (agent),164,11 Avqust 2019,"Yasamal r.
"," Yeni Yasamal q.
",,,,,,,,
Yeni tikili,17 / 17,114 m²,3,yoxdur,135 000AZN,vasitəçi (agent),1954,11 Avqust 2019,"Binəqədi r.
"," 9-cu mikrorayon q.
",,,,,,,,
Yeni tikili,6 / 14,196 m²,4,var,700 000AZN,mülkiyyətçi,1674,10 Avqust 2019,"Sevil Qazıyeva parkı 
"," M.Hüseynzadə parkı 
"," Rusiya səfirliyi 
"," Yasamal r.
"," Yasamal q.
",,,,,
Yeni tikili,11 / 17,105 m²,2,yoxdur,145 000AZN,mülkiyyətçi,120,10 Avqust 2019,"Neftçi bazası 
"," Nəsimi r.
",,,,,,,,
Yeni tikili,10 / 16,110 m²,3,yoxdur,165 000AZN,vasitəçi (agent),128,10 Avqust 2019,"Binəqədi r.
"," 9-cu mikrorayon q.
",,,,,,,,
Yeni tikili,5 / 7,127 m²,3,var,172 000AZN,vasitəçi (agent),141,10 Avqust 2019,"Ayna Sultanova heykəli 
"," Nərimanov r.
",,,,,,,,
Yeni tikili,10 / 16,164 m²,3,yoxdur,215 000AZN,vasitəçi (agent),110,Dünən 11,"Tibb Universiteti 
"," Nəsimi r.
",,,,,,,,
Köhnə tikili,30 m²,1,var,,47 500AZN,676,Bugün 13,"Nizami m.
"," Yasamal r.
"," Yasamal q.
",,,,,,,,
Yeni tikili,16 / 20,135.6 m²,3,yoxdur,135 500AZN,mülkiyyətçi,222,11 Avqust 2019,"Bakı Asiya Universiteti 
"," Nəsimi r.
",,,,,,,,
Yeni tikili,3 / 12,110 m²,3,var,200 000AZN,vasitəçi (agent),136,11 Avqust 2019,"Nizami m.
"," Beşmərtəbə 
"," Yasamal r.
",,,,,,,
Yeni tikili,8 / 16,68 m²,1,yoxdur,105 000AZN,vasitəçi (agent),3296,11 Avqust 2019,"Yasamal r.
",,,,,,,,,
Köhnə tikili,2 / 9,90 m²,3,var,115 000AZN,vasitəçi (agent),264,10 Avqust 2019,"Xalqlar Dostluğu m.
"," Nizami r.
",,,,,,,,
Yeni tikili,10 / 12,52 m²,2,yoxdur,78 000AZN,vasitəçi (agent),173,10 Avqust 2019,"Yasamal r.
"," Yeni Yasamal q.
",,,,,,,,
Köhnə tikili,3 / 5,130 m²,5,var,177 000AZN,vasitəçi (agent),101,10 Avqust 2019,"Ayna Sultanova heykəli 
"," Binəqədi r.
",,,,,,,,
Köhnə tikili,11 / 12,65 m²,2,var,99 000AZN,vasitəçi (agent),173,10 Avqust 2019,"Yasamal r.
",,,,,,,,,
Yeni tikili,4 / 12,82 m²,2,var,130 000AZN,vasitəçi (agent),1001,Dünən 11,"Şah İsmayıl Xətai m.
"," Xətai r.
",,,,,,,,
Yeni tikili,9 / 17,68 m²,2,yoxdur,112 000AZN,mülkiyyətçi,1301,11 Avqust 2019,"Zərifə Əliyeva adına park 
"," Nəsimi r.
"," 4-cü mikrorayon q.
",,,,,,,
Yeni tikili,16 / 18,60 m²,2,var,77 000AZN,vasitəçi (agent),299,11 Avqust 2019,"Xalqlar Dostluğu m.
"," Nizami r.
"," 8-ci kilometr q.
",,,,,,,
Yeni tikili,10 / 17,165 m²,4,var,350 000AZN,vasitəçi (agent),123,11 Avqust 2019,"Park Zorge 
"," Koala parkı 
"," Nəsimi bazarı 
"," Dostluq kinoteatrı 
"," Rusiya səfirliyi 
"," Nəsimi r.
",,,,
Yeni tikili,14 / 19,210 m²,4,var,599 000AZN,mülkiyyətçi,1917,Bugün 10,"Bakı Slavyan Universiteti 
"," Azərbaycan Dillər Universiteti 
"," Sirk 
"," 28 May m.
"," Nəsimi r.
",,,,,
Köhnə tikili,4 / 5,30 m²,2,var,56 000AZN,vasitəçi (agent),264,10 Avqust 2019,"Memar Əcəmi m.
"," Nəsimi r.
"," 5-ci mikrorayon q.
",,,,,,,
Yeni tikili,10 / 24,215 m²,3,var,585 000AZN,vasitəçi (agent),1059,10 Avqust 2019,"Şah İsmayıl Xətai m.
"," Xətai r.
",,,,,,,,
Köhnə tikili,5 / 5,33 m²,1,var,49 500AZN,vasitəçi (agent),239,10 Avqust 2019,"20 Yanvar m.
"," Memar Əcəmi m.
"," Nəsimi r.
",,,,,,,
Köhnə tikili,2 / 5,90 m²,3,var,202 000AZN,vasitəçi (agent),256,10 Avqust 2019,"Dövlət Statistika Komitəsi 
"," İncəsənət və Mədəniyyət Un. 
"," Nizami m.
"," Yasamal r.
",,,,,,
Yeni tikili,15 / 17,97 m²,3,yoxdur,131 000AZN,vasitəçi (agent),283,Bugün 11,"Tibb Universiteti 
"," Neftçi bazası 
"," Nərimanov r.
",,,,,,,
Köhnə tikili,2 / 5,45 m²,2,var,110 000AZN,mülkiyyətçi,1499,11 Avqust 2019,"Cavanşir körpüsü 
"," Şah İsmayıl Xətai m.
"," Xətai r.
",,,,,,,
Yeni tikili,14 / 18,125 m²,3,var,310 000AZN,vasitəçi (agent),814,Dünən 16,"Şah İsmayıl Xətai m.
"," Xətai r.
",,,,,,,,
Köhnə tikili,5 / 5,55 m²,2,var,133 000AZN,vasitəçi (agent),167,11 Avqust 2019,"Hüseyn Cavid parkı 
"," Texniki Universiteti 
"," Sovetski 
"," Elmlər Akademiyası m.
"," Yasamal r.
",,,,,
Yeni tikili,17 / 18,115 m²,3,yoxdur,102 600AZN,mülkiyyətçi,2911,Bugün 11,"Bakı Asiya Universiteti 
"," Nəsimi r.
"," 3-cü mikrorayon q.
",,,,,,,
Köhnə tikili,8 / 10,85 m²,3,var,155 000AZN,vasitəçi (agent),195,10 Avqust 2019,"Azərbaycan turizm institutu 
"," Respublika stadionu 
"," Gənclik m.
"," Nərimanov r.
",,,,,,
Yeni tikili,7 / 16,151 m²,3,var,300 000AZN,vasitəçi (agent),107,10 Avqust 2019,"Gənclik m.
"," Respublika stadionu 
"," Nərimanov r.
",,,,,,,
Yeni tikili,14 / 17,110 m²,3,var,250 000AZN,vasitəçi (agent),143,10 Avqust 2019,"Hüseyn Cavid parkı 
"," Elmlər Akademiyası m.
"," Yasamal r.
",,,,,,,
Yeni tikili,18 / 19,84 m²,2,var,158 000AZN,vasitəçi (agent),162,10 Avqust 2019,"20 Yanvar m.
"," Yasamal r.
",,,,,,,,
Köhnə tikili,5 / 5,55 m²,2,var,98 000AZN,vasitəçi (agent),168,Dünən 11,"Rəssamlıq Akademiyası 
"," Nəriman Nərimanov parkı 
"," Nəriman Nərimanov m.
"," Nərimanov r.
",,,,,,
Yeni tikili,2 / 16,101 m²,3,var,125 000AZN,vasitəçi (agent),325,11 Avqust 2019,"Qara Qarayev m.
"," Nizami r.
",,,,,,,,
Yeni tikili,12 / 22,123 m²,3,yoxdur,149 000AZN,vasitəçi (agent),633,11 Avqust 2019,"Yasamal r.
",,,,,,,,,
Köhnə tikili,2 / 5,70 m²,3,var,91 500AZN,vasitəçi (agent),282,Bugün 11,"Memar Əcəmi m.
"," Nəsimi r.
",,,,,,,,
Yeni tikili,11 / 16,134.5 m²,3,yoxdur,132 000AZN,mülkiyyətçi,3358,11 Avqust 2019,"Xətai r.
",,,,,,,,,
Köhnə tikili,2 / 3,50 m²,2,var,50 000AZN,vasitəçi (agent),179,10 Avqust 2019,"Suraxanı r.
"," Yeni Suraxanı q.
",,,,,,,,
Köhnə tikili,4 / 4,50 m²,2,yoxdur,65 000AZN,vasitəçi (agent),195,10 Avqust 2019,"Ayna Sultanova heykəli 
"," Nərimanov r.
",,,,,,,,
Yeni tikili,12 / 17,138 m²,3,var,203 000AZN,vasitəçi (agent),117,10 Avqust 2019,"Bakı
",,,,,,,,,
Köhnə tikili,2 / 4,60 m²,2,var,95 000AZN,vasitəçi (agent),251,10 Avqust 2019,"İzmir parkı 
"," İdman kompleksi 
"," Yasamal r.
",,,,,,,
Yeni tikili,8 / 20,65 m²,2,var,138 000AZN,mülkiyyətçi,1000,07 Avqust 2019,"Şah İsmayıl Xətai m.
"," Xətai r.
",,,,,,,,
Köhnə tikili,2 / 9,70 m²,3,var,96 000AZN,vasitəçi (agent),216,11 Avqust 2019,"Sabunçu r.
"," Bakıxanov q.
",,,,,,,,
Yeni tikili,19 / 22,147 m²,4,yoxdur,96 000AZN,vasitəçi (agent),1640,11 Avqust 2019,"Yasamal r.
",,,,,,,,,
Yeni tikili,9 / 17,83 m²,2,var,96 000AZN,vasitəçi (agent),180,11 Avqust 2019,"Nizami r.
",,,,,,,,,
Yeni tikili,3 / 19,126 m²,3,yoxdur,110 000AZN,vasitəçi (agent),148,11 Avqust 2019,"Bakı
",,,,,,,,,
Yeni tikili,13 / 19,125 m²,3,yoxdur,260 000AZN,vasitəçi (agent),134,10 Avqust 2019,"Şah İsmayıl Xətai m.
"," Xətai r.
",,,,,,,,
Köhnə tikili,5 / 5,70 m²,3,var,108 000AZN,vasitəçi (agent),153,10 Avqust 2019,"Yasamal bazarı 
"," Yasamal r.
",,,,,,,,
Köhnə tikili,7 / 9,64 m²,2,var,62 000AZN,mülkiyyətçi,309,10 Avqust 2019,"Xətai r.
"," Əhmədli q.
",,,,,,,,
Köhnə tikili,6 / 9,90 m²,3,var,144 000AZN,vasitəçi (agent),297,10 Avqust 2019,"İnşaatçılar m.
"," Yasamal bazarı 
"," Yasamal r.
",,,,,,,
Yeni tikili,10 / 19,230 m²,4,var,440 000AZN,vasitəçi (agent),508,Dünən 18,"Koala parkı 
"," Nəsimi bazarı 
"," Dostluq kinoteatrı 
"," Park Zorge 
"," Nəsimi r.
",,,,,
Yeni tikili,16 / 18,140 m²,3,var,330 000AZN,vasitəçi (agent),2111,Bugün 14,"Gənclik m.
"," Respublika stadionu 
"," Nəsimi r.
",,,,,,,
Köhnə tikili,9 / 9,60 m²,2,var,83 000AZN,vasitəçi (agent),205,11 Avqust 2019,"Ayna Sultanova heykəli 
"," Nərimanov r.
",,,,,,,,
Yeni tikili,6 / 10,90 m²,3,yoxdur,54 000AZN,vasitəçi (agent),693,11 Avqust 2019,"Abşeron r.
"," Masazır q.
",,,,,,,,
Köhnə tikili,8 / 9,67 m²,4,var,150 000AZN,mülkiyyətçi,132,11 Avqust 2019,"Səbail r.
",,,,,,,,,
Köhnə tikili,7 / 9,130 m²,5,var,175 000AZN,151,Dünən 16,"Azadlıq Prospekti m.
"," Binəqədi r.
"," 8-ci mikrorayon q.
",,,,,,,,
Yeni tikili,5 / 12,135 m²,4,yoxdur,169 000AZN,vasitəçi (agent),112,10 Avqust 2019,"Nizami r.
"," 8-ci kilometr q.
",,,,,,,,
Yeni tikili,8 / 12,71 m²,2,var,110 000AZN,vasitəçi (agent),194,10 Avqust 2019,"Memar Əcəmi m.
"," Nəsimi r.
"," 4-cü mikrorayon q.
",,,,,,,
Yeni tikili,16 / 20,110 m²,2,var,210 000AZN,vasitəçi (agent),229,10 Avqust 2019,"Səbail r.
"," Badamdar q.
",,,,,,,,
Yeni tikili,14 / 18,45 m²,2,var,87 000AZN,mülkiyyətçi,909,02 Avqust 2019,"Binəqədi r.
"," 9-cu mikrorayon q.
",,,,,,,,
Köhnə tikili,2 / 5,65 m²,3,var,115 000AZN,vasitəçi (agent),856,11 Avqust 2019,"Memar Əcəmi m.
"," Nəsimi r.
"," 2-ci mikrorayon q.
",,,,,,,
Köhnə tikili,3 / 4,70 m²,3,var,120 000AZN,vasitəçi (agent),451,Dünən 11,"Dostluq kinoteatrı 
"," Bakı Slavyan Universiteti 
"," Azərbaycan Dillər Universiteti 
"," Koala parkı 
",,,,,,
Yeni tikili,7 / 11,47 m²,2,yoxdur,33 000AZN,vasitəçi (agent),238,11 Avqust 2019,"Abşeron r.
"," Masazır q.
",,,,,,,,
Yeni tikili,3 / 16,105 m²,3,yoxdur,187 000AZN,mülkiyyətçi,113,11 Avqust 2019,"Koala parkı 
"," Zoopark 
"," Nəsimi bazarı 
"," Dostluq kinoteatrı 
"," Nəsimi r.
",,,,,
Yeni tikili,6 / 17,110 m²,2,yoxdur,165 000AZN,vasitəçi (agent),169,10 Avqust 2019,"Təhsil Nazirliyi 
"," Nərimanov r.
",,,,,,,,
Yeni tikili,5 / 7,145 m²,3,yoxdur,300 000AZN,vasitəçi (agent),2203,10 Avqust 2019,"Ağ şəhər 
"," Xətai r.
",,,,,,,,
Yeni tikili,6 / 7,76 m²,2,yoxdur,43 000AZN,vasitəçi (agent),190,10 Avqust 2019,"Xırdalan
",,,,,,,,,
Yeni tikili,15 / 20,193 m²,3,var,300 000AZN,vasitəçi (agent),340,10 Avqust 2019,"Hüseyn Cavid parkı 
"," Texniki Universiteti 
"," Sovetski 
"," Elmlər Akademiyası m.
"," Yasamal r.
",,,,,
Yeni tikili,6 / 7,107 m²,3,var,155 000AZN,mülkiyyətçi,895,25 İyul 2019,"Yasamal bazarı 
"," Yasamal r.
"," Yasamal q.
",,,,,,,
Köhnə tikili,7 / 9,54 m²,2,var,65 700AZN,vasitəçi (agent),322,11 Avqust 2019,"Xətai r.
"," Əhmədli q.
",,,,,,,,
