V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19
Yeni tikili,14 / 18,75 m²,3,yoxdur,155 000AZN,vasitəçi (agent),190,10 Avqust 2019,"İnşaatçılar m.
"," Yasamal r.
",,,,,,,,
Yeni tikili,7 / 16,96 m²,2,var,345 000AZN,mülkiyyətçi,1458,08 Avqust 2019,"Sirk 
"," Zabitlər parkı 
"," Azərbaycan Dillər Universiteti 
"," Bakı Slavyan Universiteti 
"," Nəsimi r.
",,,,,
Köhnə tikili,3 / 3,83 m²,4,var,77 000AZN,mülkiyyətçi,1216,Dünən 00,"Sumqayıt
",,,,,,,,,
Yeni tikili,7 / 19,165 m²,3,var,319 000AZN,mülkiyyətçi,8906,Dünən 16,"Cavanşir körpüsü 
"," Nəsimi r.
",,,,,,,,
Yeni tikili,13 / 19,153 m²,4,yoxdur,210 000AZN,mülkiyyətçi,176,11 Avqust 2019,"Nəriman Nərimanov m.
"," Bakmil m.
"," Nərimanov r.
",,,,,,,
Yeni tikili,12 / 18,151 m²,3,var,272 000AZN,vasitəçi (agent),642,11 Avqust 2019,"Koala parkı 
"," Dostluq kinoteatrı 
"," Nəsimi bazarı 
"," Zoopark 
"," Nəsimi r.
",,,,,
Yeni tikili,17 / 18,98 m²,2,yoxdur,110 000AZN,vasitəçi (agent),410,10 Avqust 2019,"Neftçi bazası 
"," TQDK 
"," Nəsimi r.
",,,,,,,
Yeni tikili,16 / 19,147 m²,3,var,850 000AZN,vasitəçi (agent),281,10 Avqust 2019,"Şah İsmayıl Xətai m.
"," Xətai r.
",,,,,,,,
Yeni tikili,6 / 12,100 m²,3,var,175 000AZN,vasitəçi (agent),309,10 Avqust 2019,"Memar Əcəmi m.
"," Nəsimi r.
"," 4-cü mikrorayon q.
",,,,,,,
Yeni tikili,14 / 18,123 m²,3,yoxdur,150 000AZN,vasitəçi (agent),211,10 Avqust 2019,"Tibb Universiteti 
"," Nəsimi r.
",,,,,,,,
Yeni tikili,12 / 13,320 m²,6,var,550 000AZN,mülkiyyətçi,2964,31 İyul 2019,"Neftçi bazası 
"," Nərimanov r.
",,,,,,,,
Yeni tikili,7 / 16,177.8 m²,4,yoxdur,248 920AZN,mülkiyyətçi,20587,Dünən 00,"Şah İsmayıl Xətai m.
"," Xətai r.
",,,,,,,,
Yeni tikili,15 / 18,210 m²,4,var,350 000AZN,vasitəçi (agent),466,11 Avqust 2019,"Nəsimi r.
",,,,,,,,,
Yeni tikili,6 / 16,180 m²,4,var,300 000AZN,vasitəçi (agent),145,11 Avqust 2019,"Tibb Universiteti 
"," Nəsimi r.
",,,,,,,,
Köhnə tikili,9 / 9,60 m²,2,var,65 000AZN,mülkiyyətçi,243,11 Avqust 2019,"Həzi Aslanov m.
"," Xətai r.
"," Əhmədli q.
",,,,,,,
Yeni tikili,12 / 16,102 m²,2,yoxdur,135 000AZN,vasitəçi (agent),589,10 Avqust 2019,"Zərifə Əliyeva adına park 
"," Nəsimi r.
",,,,,,,,
Yeni tikili,2 / 20,114 m²,3,var,185 000AZN,vasitəçi (agent),147,10 Avqust 2019,"Səbail r.
"," Bayıl q.
",,,,,,,,
